地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2000/10/10,17:20:10.8,トカラ列島近海,29°23.4′N,129°26.5′E,25 km,3.2,震度２
2000/10/10,08:52:39.9,トカラ列島近海,29°21.7′N,129°28.3′E,26 km,3.0,震度２
2000/10/10,06:28:11.3,トカラ列島近海,29°25.5′N,129°18.4′E,15 km,3.5,震度２
2000/10/09,14:31:12.4,トカラ列島近海,29°25.2′N,129°17.2′E,13 km,3.4,震度２
2000/10/07,11:42:38.3,トカラ列島近海,29°23.3′N,129°28.0′E,28 km,2.7,震度２
2000/10/07,02:05:50.7,トカラ列島近海,29°25.6′N,129°21.5′E,11 km,3.2,震度２
2000/10/07,01:59:09.1,トカラ列島近海,29°24.2′N,129°26.4′E,18 km,3.6,震度２
2000/10/06,02:09:24.1,トカラ列島近海,29°22.7′N,129°27.4′E,26 km,2.7,震度２
2000/10/05,12:29:14.1,トカラ列島近海,29°25.5′N,129°29.0′E,25 km,2.0,震度２
2000/10/04,10:28:54.7,トカラ列島近海,29°24.3′N,129°31.2′E,28 km,2.8,震度２
2000/10/04,00:10:47.7,トカラ列島近海,29°25.0′N,129°26.8′E,17 km,3.1,震度２
2000/10/03,12:09:25.8,トカラ列島近海,29°23.3′N,129°27.6′E,24 km,4.4,震度４
2000/10/03,01:05:05.9,トカラ列島近海,29°22.8′N,129°29.4′E,25 km,2.6,震度２
2000/10/03,01:02:42.8,トカラ列島近海,29°21.8′N,129°31.4′E,20 km,2.7,震度２
2000/10/02,23:42:36.7,トカラ列島近海,29°22.9′N,129°30.8′E,21 km,3.0,震度２
2000/10/02,23:28:01.7,トカラ列島近海,29°22.4′N,129°33.6′E,28 km,2.3,震度２
2000/10/02,23:24:02.9,トカラ列島近海,29°23.2′N,129°29.1′E,28 km,2.8,震度２
2000/10/02,22:25:51.1,トカラ列島近海,29°22.9′N,129°28.6′E,29 km,3.9,震度３
2000/10/02,22:17:09.2,トカラ列島近海,29°23.5′N,129°25.8′E,18 km,3.9,震度２
2000/10/02,22:08:53.1,トカラ列島近海,29°23.5′N,129°23.3′E,18 km,4.1,震度２
2000/10/02,21:48:39.2,トカラ列島近海,29°23.1′N,129°29.4′E,24 km,2.6,震度２
2000/10/02,20:53:25.3,トカラ列島近海,29°26.0′N,129°24.4′E,21 km,2.8,震度３
2000/10/02,19:27:13.2,トカラ列島近海,29°26.5′N,129°17.7′E,16 km,3.4,震度３
2000/10/02,18:41:44.1,トカラ列島近海,29°26.2′N,129°24.7′E,17 km,2.5,震度２
2000/10/02,18:18:43.4,トカラ列島近海,29°25.5′N,129°26.2′E,24 km,3.1,震度２
2000/10/02,18:07:40.2,トカラ列島近海,29°22.0′N,129°24.8′E,27 km,3.3,震度２
2000/10/02,18:05:30.1,トカラ列島近海,29°24.5′N,129°23.7′E,20 km,3.0,震度３
2000/10/02,17:37:44.7,トカラ列島近海,29°25.4′N,129°30.2′E,17 km,2.8,震度２
2000/10/02,17:35:16.6,トカラ列島近海,29°23.5′N,129°21.3′E,14 km,2.8,震度２
2000/10/02,17:33:27.4,トカラ列島近海,29°23.5′N,129°30.6′E,25 km,2.7,震度２
2000/10/02,17:20:46.7,トカラ列島近海,29°27.8′N,129°16.1′E,9 km,2.6,震度２
2000/10/02,17:04:05.1,トカラ列島近海,29°27.4′N,129°26.0′E,21 km,4.6,震度５弱
2000/10/02,17:00:42.6,トカラ列島近海,29°24.3′N,129°23.6′E,25 km,3.2,震度２
2000/10/02,16:58:03.3,トカラ列島近海,29°24.8′N,129°23.9′E,18 km,2.9,震度２
2000/10/02,16:57:16.7,トカラ列島近海,29°23.3′N,129°29.2′E,29 km,3.3,震度２
2000/10/02,16:48:08.7,トカラ列島近海,29°23.7′N,129°24.6′E,26 km,3.1,震度２
2000/10/02,16:44:08.7,トカラ列島近海,29°24.7′N,129°27.5′E,25 km,5.9,震度５強
2000/10/02,16:32:42.1,トカラ列島近海,29°22.7′N,129°31.2′E,21 km,3.6,震度３
2000/10/02,16:29:40.3,トカラ列島近海,29°23.7′N,129°20.4′E,22 km,5.3,震度５弱
2000/10/02,16:15:25.1,トカラ列島近海,29°24.0′N,129°27.1′E,22 km,3.0,震度２
2000/10/02,14:53:12.3,トカラ列島近海,29°22.6′N,129°26.2′E,29 km,3.8,震度３
2000/10/02,14:40:17.4,トカラ列島近海,29°22.8′N,129°28.4′E,26 km,4.0,震度２
2000/10/02,14:21:38.9,トカラ列島近海,29°23.4′N,129°26.5′E,27 km,5.0,震度４
