地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2016/12/10,18:18:50.3,トカラ列島近海,29°11.7′N,129°16.2′E,16 km,3.8,震度２
2016/12/09,00:21:30.3,トカラ列島近海,29°11.5′N,129°10.5′E,11 km,2.4,震度１
2016/12/09,00:18:19.2,トカラ列島近海,29°12.3′N,129°08.4′E,10 km,2.7,震度１
2016/12/09,00:16:38.0,トカラ列島近海,29°11.3′N,129°09.2′E,9 km,2.7,震度１
2016/12/09,00:09:48.2,トカラ列島近海,29°10.8′N,129°09.7′E,10 km,2.9,震度１
2016/12/09,00:05:21.9,トカラ列島近海,29°10.2′N,129°11.3′E,11 km,2.3,震度１
2016/12/09,00:01:30.1,トカラ列島近海,29°10.1′N,129°10.9′E,11 km,2.5,震度２
2016/12/08,23:54:07.6,トカラ列島近海,29°11.5′N,129°07.4′E,8 km,3.0,震度１
2016/12/08,23:42:22.6,トカラ列島近海,29°12.1′N,129°08.3′E,9 km,3.2,震度２
2016/12/08,23:41:24.7,トカラ列島近海,29°10.8′N,129°06.2′E,6 km,3.3,震度２
2016/12/08,23:36:49.9,トカラ列島近海,29°11.6′N,129°08.0′E,11 km,2.4,震度１
2016/12/08,23:33:25.0,トカラ列島近海,29°10.4′N,129°16.4′E,12 km,3.0,震度１
2016/12/08,23:31:40.4,トカラ列島近海,29°12.6′N,129°09.7′E,11 km,3.7,震度３
2016/12/08,22:42:33.8,トカラ列島近海,29°11.4′N,129°08.3′E,8 km,2.4,震度１
2016/12/08,22:06:29.7,トカラ列島近海,29°11.5′N,129°09.3′E,9 km,3.0,震度１
2016/12/08,21:40:16.2,トカラ列島近海,29°12.5′N,129°06.2′E,5 km,2.7,震度１
2016/12/08,21:38:47.4,トカラ列島近海,29°13.3′N,129°08.5′E,7 km,2.6,震度１
2016/12/08,21:01:48.7,トカラ列島近海,29°11.7′N,129°07.6′E,9 km,2.4,震度１
2016/12/08,20:55:23.8,トカラ列島近海,29°14.4′N,129°09.2′E,12 km,2.3,震度１
2016/12/08,20:39:40.0,トカラ列島近海,29°14.1′N,129°08.4′E,11 km,3.2,震度３
2016/12/08,20:30:28.9,トカラ列島近海,29°12.4′N,129°09.3′E,11 km,2.6,震度１
2016/12/08,20:16:14.1,トカラ列島近海,29°10.3′N,129°05.9′E,6 km,2.3,震度１
2016/12/08,20:14:44.0,トカラ列島近海,29°13.1′N,129°09.5′E,11 km,2.9,震度２
2016/12/08,20:12:01.1,トカラ列島近海,29°15.3′N,129°12.2′E,7 km,2.8,震度１
2016/12/08,20:11:08.7,トカラ列島近海,29°13.4′N,129°09.8′E,11 km,3.0,震度２
2016/12/08,19:59:21.9,トカラ列島近海,29°13.3′N,129°08.7′E,12 km,3.5,震度３
2016/12/07,05:58:33.1,トカラ列島近海,29°16.0′N,129°14.0′E,12 km,2.1,震度１
2016/12/07,05:54:50.9,トカラ列島近海,29°16.2′N,129°19.7′E,8 km,2.1,震度１
2016/12/07,05:53:33.1,トカラ列島近海,29°17.2′N,129°09.4′E,13 km,2.7,震度２
2016/12/07,05:52:29.9,トカラ列島近海,29°14.7′N,129°10.5′E,12 km,2.0,震度１
2016/12/07,05:51:33.5,トカラ列島近海,29°14.8′N,129°12.5′E,14 km,2.3,震度２
2016/12/07,05:49:28.1,トカラ列島近海,29°17.9′N,129°09.1′E,12 km,2.7,震度２
2016/12/07,05:48:10.5,トカラ列島近海,29°16.8′N,129°07.0′E,10 km,2.1,震度１
2016/12/07,05:46:42.2,トカラ列島近海,29°14.6′N,129°14.5′E,13 km,2.2,震度２
2016/12/07,05:45:54.0,トカラ列島近海,29°14.7′N,129°16.2′E,13 km,1.8,震度１
2016/12/06,18:18:27.2,トカラ列島近海,29°10.3′N,129°18.8′E,14 km,2.1,震度２
2016/12/06,16:42:36.4,トカラ列島近海,29°10.4′N,129°18.1′E,15 km,2.7,震度１
2016/12/05,06:30:25.0,トカラ列島近海,29°11.7′N,129°17.9′E,16 km,3.3,震度１
