地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2021/04/24,11:40:06.7,トカラ列島近海,29°15.4′N,129°24.0′E,9 km,3.5,震度２
2021/04/21,12:11:43.5,トカラ列島近海,29°20.8′N,129°22.5′E,20 km,2.5,震度１
2021/04/21,10:13:16.3,トカラ列島近海,29°20.3′N,129°32.0′E,12 km,2.3,震度１
2021/04/21,09:30:57.3,トカラ列島近海,29°20.0′N,129°32.4′E,8 km,2.6,震度１
2021/04/21,08:50:24.4,トカラ列島近海,29°19.9′N,129°32.0′E,10 km,2.7,震度１
2021/04/21,07:45:23.7,トカラ列島近海,29°22.2′N,129°28.5′E,16 km,4.1,震度４
2021/04/21,06:05:21.0,トカラ列島近海,29°19.8′N,129°24.3′E,16 km,2.5,震度１
2021/04/20,19:26:23.5,トカラ列島近海,29°19.9′N,129°32.0′E,11 km,3.0,震度３
2021/04/20,18:06:29.7,トカラ列島近海,29°20.6′N,129°31.8′E,8 km,2.8,震度１
2021/04/19,14:25:00.5,トカラ列島近海,29°19.4′N,129°27.6′E,10 km,3.3,震度２
2021/04/18,21:06:17.2,トカラ列島近海,29°19.2′N,129°26.9′E,15 km,2.8,震度２
2021/04/18,20:12:42.0,トカラ列島近海,29°19.1′N,129°27.1′E,14 km,3.1,震度２
2021/04/18,18:16:11.3,トカラ列島近海,29°14.9′N,129°06.8′E,8 km,2.0,震度１
2021/04/18,18:14:18.8,トカラ列島近海,29°13.9′N,129°07.3′E,11 km,1.9,震度１
2021/04/18,10:07:45.7,トカラ列島近海,29°20.5′N,129°25.5′E,22 km,2.5,震度１
2021/04/16,15:38:25.4,トカラ列島近海,29°18.9′N,129°27.9′E,10 km,2.7,震度１
2021/04/16,12:44:48.4,トカラ列島近海,29°19.4′N,129°25.8′E,16 km,2.4,震度２
2021/04/15,14:48:44.3,トカラ列島近海,29°19.8′N,129°26.6′E,16 km,3.3,震度２
2021/04/15,13:10:28.4,トカラ列島近海,29°17.7′N,129°20.7′E,16 km,2.2,震度１
2021/04/15,10:07:21.7,トカラ列島近海,29°16.6′N,129°24.0′E,15 km,1.9,震度１
2021/04/14,13:53:28.3,トカラ列島近海,29°19.6′N,129°26.0′E,12 km,3.7,震度３
2021/04/14,07:18:06.8,トカラ列島近海,29°19.0′N,129°27.7′E,15 km,2.1,震度１
2021/04/14,07:10:58.9,トカラ列島近海,29°20.6′N,129°26.9′E,20 km,2.6,震度１
2021/04/14,01:53:36.3,トカラ列島近海,29°13.9′N,129°23.5′E,14 km,1.8,震度１
2021/04/14,01:33:32.2,トカラ列島近海,29°14.7′N,129°12.9′E,7 km,2.8,震度２
2021/04/14,00:55:23.7,トカラ列島近海,29°17.1′N,129°19.2′E,16 km,2.6,震度１
2021/04/13,23:36:57.2,トカラ列島近海,29°20.0′N,129°26.9′E,17 km,3.6,震度３
