地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2025/06/27,22:52:52.4,トカラ列島近海,29°17.3′N,129°25.7′E,22 km,3.9,震度２
2025/06/27,22:16:13.4,トカラ列島近海,29°18.0′N,129°18.5′E,20 km,2.6,震度１
2025/06/27,19:58:14.1,トカラ列島近海,29°18.8′N,129°25.1′E,14 km,2.6,震度１
2025/06/27,19:47:25.9,トカラ列島近海,29°16.5′N,129°11.1′E,13 km,2.9,震度１
2025/06/27,15:00:12.4,トカラ列島近海,29°17.5′N,129°28.5′E,11 km,2.3,震度１
2025/06/27,13:59:27.4,トカラ列島近海,29°19.3′N,129°11.4′E,22 km,2.5,震度１
2025/06/27,13:19:58.7,トカラ列島近海,29°21.4′N,129°15.1′E,28 km,不明,震度１
2025/06/27,13:17:05.3,トカラ列島近海,29°20.2′N,129°23.0′E,20 km,4.8,震度３
2025/06/27,12:38:33.7,トカラ列島近海,29°18.1′N,129°25.0′E,20 km,2.9,震度１
2025/06/27,11:31:11.7,トカラ列島近海,29°18.8′N,129°27.1′E,12 km,2.8,震度１
2025/06/27,09:04:14.4,トカラ列島近海,29°14.0′N,129°09.6′E,14 km,3.2,震度１
2025/06/27,08:15:36.9,トカラ列島近海,29°17.3′N,129°25.5′E,22 km,2.7,震度１
2025/06/27,08:00:47.8,トカラ列島近海,29°16.8′N,129°21.4′E,18 km,2.4,震度１
2025/06/27,06:30:09.0,トカラ列島近海,29°17.2′N,129°27.3′E,12 km,2.7,震度１
2025/06/27,06:07:17.3,トカラ列島近海,29°16.7′N,129°28.5′E,15 km,2.9,震度２
2025/06/27,02:32:32.9,トカラ列島近海,29°14.7′N,129°17.9′E,16 km,2.4,震度１
2025/06/26,19:58:16.2,トカラ列島近海,29°18.1′N,129°24.9′E,19 km,2.7,震度１
2025/06/26,14:18:05.1,トカラ列島近海,29°19.0′N,129°24.9′E,16 km,2.8,震度１
2025/06/26,10:48:53.6,トカラ列島近海,29°17.4′N,129°21.0′E,16 km,3.8,震度２
2025/06/26,09:10:47.2,トカラ列島近海,29°19.1′N,129°26.1′E,19 km,3.3,震度２
2025/06/26,08:37:51.1,トカラ列島近海,29°17.5′N,129°25.3′E,23 km,3.2,震度２
2025/06/26,07:20:40.8,トカラ列島近海,29°18.4′N,129°18.8′E,19 km,2.6,震度１
2025/06/26,07:05:52.7,トカラ列島近海,29°18.5′N,129°20.8′E,20 km,2.9,震度２
2025/06/26,06:28:45.4,トカラ列島近海,29°15.2′N,129°08.0′E,7 km,2.9,震度２
2025/06/26,06:27:46.8,トカラ列島近海,29°14.8′N,129°09.9′E,7 km,3.1,震度２
2025/06/26,06:23:24.5,トカラ列島近海,29°14.2′N,129°09.4′E,10 km,3.2,震度１
2025/06/26,06:13:20.9,トカラ列島近海,29°15.5′N,129°08.4′E,9 km,2.9,震度１
2025/06/26,05:59:59.9,トカラ列島近海,29°16.3′N,129°10.1′E,10 km,2.4,震度１
2025/06/26,04:19:15.2,トカラ列島近海,29°17.1′N,129°20.2′E,17 km,3.1,震度１
2025/06/26,02:22:15.8,トカラ列島近海,29°23.2′N,129°26.1′E,23 km,不明,震度１
2025/06/26,02:21:10.1,トカラ列島近海,29°17.0′N,129°08.2′E,11 km,3.2,震度２
2025/06/25,23:19:00.7,トカラ列島近海,29°17.8′N,129°23.7′E,18 km,2.7,震度１
2025/06/25,23:17:29.3,トカラ列島近海,29°17.9′N,129°23.4′E,20 km,3.0,震度１
2025/06/25,23:09:02.0,トカラ列島近海,29°18.6′N,129°22.0′E,21 km,2.8,震度１
2025/06/25,20:57:50.3,トカラ列島近海,29°13.6′N,129°14.6′E,11 km,1.7,震度１
2025/06/25,20:34:02.1,トカラ列島近海,29°18.4′N,129°23.6′E,22 km,3.8,震度２
2025/06/25,20:14:43.3,トカラ列島近海,29°20.2′N,129°24.9′E,20 km,2.5,震度１
2025/06/25,19:53:22.4,トカラ列島近海,29°15.7′N,129°10.5′E,11 km,2.3,震度１
2025/06/25,19:52:08.7,トカラ列島近海,29°14.2′N,129°10.7′E,11 km,2.1,震度１
2025/06/25,19:51:03.3,トカラ列島近海,29°14.1′N,129°11.4′E,10 km,1.7,震度１
2025/06/25,19:43:12.1,トカラ列島近海,29°14.3′N,129°12.6′E,15 km,不明,震度１
2025/06/25,19:39:13.0,トカラ列島近海,29°13.1′N,129°09.8′E,14 km,3.8,震度３
2025/06/25,19:38:38.4,トカラ列島近海,29°14.7′N,129°06.3′E,10 km,不明,震度１
2025/06/25,19:37:00.9,トカラ列島近海,29°15.0′N,129°06.7′E,12 km,3.0,震度３
2025/06/25,19:35:35.7,トカラ列島近海,29°13.7′N,129°08.4′E,13 km,3.3,震度３
